id,type,text1,text2,text3,notes
,,,,,
,,,,,
,,,,,
,,,,,
####################,,,,,
##                ##,,,,,
##     SHIPS      ##,,,,,
##                ##,,,,,
####################,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
,,,,,
,,,,,
# SHEAR,,,,,
,,,,,
,,,,,
diableavionics_shear,SHIP,"经过修改并被涂装成标志性红色的公牛-级拖船，且额外搭载的小型炮塔也提供了一定的自卫能力。此外，加厚的装甲也在一定程度上提高了在帮助清理残骸或打捞作业中，发现额外战利品的效率。

唯一的闪光点大概是，所有操控剥夺-级拖船的船员大多都是被临时征召来的工人，所以他们很少被教导如何去操控该舰的小炮塔。相反，被降级到仅拥有基本火力控制的AI系统，或多或少的让船员们感到有些懊恼。此外，作为增加推力的一种手段，它通常都使用了相对不稳定的混合燃料，以增强对巡洋舰这种大小船只的牵引效率，但如果运用到较小舰船时，往往会因超过动力极限而发生事故。有趣的是，这些拖船的船员们经常称自己为""碾米机""，因为它们在执行任务前都会获得额外的大米配给，而这也导致许多船员们称他们乘坐的是""大米火箭""。",,,
,,,,,
,,,,,
# LAMINAR,,,,,
,,,,,
,,,,,
diableavionics_laminar,SHIP,"与剥夺-级共享相同的船体框架，层流-级采矿护卫舰不仅能在最严酷的环境下正常运作，还能将大块小行星分离开来，并将有价值的矿石拖到附近的冶炼站。
",,,
,,,,,
,,,,,
# DRAFT,,,,,
,,,,,
,,,,,
diableavionics_draft,SHIP,"拥有坚实正面装甲的护卫舰，尽管能承受大量火力，但侧舷导弹挂载点的设计限制了该舰的打击潜力。

经常被用作低阶军官的训练舰，以让他们在失败中获得经验教训。值得注意的是，驾驶浸没-级的目的并不是扮演一名突击型角色，而是让这些军官利用舰首处的弧状云装甲来承受正面火力而不至于被迅速击败。只有通过这种严格的训练后，才最终让他们去面对真正的敌人，因为许多指挥官都希望运用这种严酷的教学形式，来让那些羽翼未丰的军官们尽早适应当前的军事准则。",,,
,,,,,
,,,,,
# VAPOR,,,,,
,,,,,
,,,,,
diableavionics_vapor,SHIP,"仅配有少量防御武器的一种灵活的超轻型护卫舰，依靠充足的正面火力，来轻易扰乱敌方舰队的行动。

出生于{""大崩塌""}前几十年的近现代设计，采用高度模块化的钛金属地盘，保证质量足够轻的同时，拥有可搭载散布于船体框架中的{16}个密封高速等离子体缓存的结构强度，来为先进的规避驱动系统提供动力。作为{恶魔航电}所设计的第一艘轻型护卫舰，除了仅达到标准线的船体强度，使每次战斗结束后都需要重新整修。

由于缺乏点防御武器，因此在面对来袭的战机或导弹时，将只能寄希望于规避驱动来躲避这些致命威胁。尽管如此，这艘灵活且能力出众的护卫舰，总能牢牢咬住那些无心缠斗的逃犯或敌军，来为后方的增援部队创造拦截机会。",,,
,,,,,
,,,,,
# SLEET,,,,,
,,,,,
,,,,,
